"","gene","ESC","EpiLC","q.value.ESC.EpiLC"
"1","Lypla1",71.9789,52.4256,0.0670997
"2","Tcea1",87.9562,89.7419,0.952829
"3","Atp6v1h",28.0293,32.6562,0.509668
"4","Oprk1",0.0464703,0.349867,1
"5","Rb1cc1",7.48403,9.30351,0.303715
"6","Fam150a",0,0.0165795,1
"7","St18",0.00454454,0.0198182,1
"8","Pcmtd1",22.9494,35.1645,0.00650984
"9","Rrs1",51.1193,23.8635,0.000682861
"10","Adhfe1",1.10727,0.517242,0.0107095
"11","3110035E14Rik",0.0052173,0.00728642,1
"12","1700034P13Rik",6.22904,4.21636,0.637575
"13","Sgk3",4.6246,2.13914,0.000682861
"14","6030422M02Rik",3.15181,2.69602,0.639953
"15","Cspp1",11.622,11.1976,0.913595
"16","Prex2",4.07398,2.62671,0.0179859
"17","A830018L16Rik",1.77337,2.49298,0.1805
"18","4932411L15",144.071,37.0843,0.000682861
"19","Sulf1",11.3531,28.5279,0.000682861
"20","Xkr9",0.0507808,0.00944559,1
"21","Kcnb2",0,0.00225649,1
"22","Terf1",115.783,96.1569,0.350211
"23","Rdh10",2.41773,2.40862,0.993174
"24","D030040B21Rik",0.868796,1.34733,0.125199
"25","Tmem70",12.0451,13.6086,0.676694
"26","Ly96",0.953092,0.660208,0.548036
"27","Gdap1",0.0289321,0.0345966,1
"28","Pi15",1.19045,1.00536,0.619902
"29","Crispld1",0.159742,0.642388,0.000682861
"30","Tfap2d",0,0.0220672,1
"31","Tfap2b",0.0211421,0.020736,1
"32","4930486I03Rik",0.132536,0.0606629,1
"33","Mir206",0,0,1
"34","Mir133b",0,0,1
"35","Il17a",0,0,1
"36","Paqr8",2.7296,0.536751,0.000682861
"37","Efhc1",1.27032,2.13584,0.0647516
"38","Tmem14a",2.4571,2.2842,0.892894
"39","Gsta3",9.36031,1.10839,0.000682861
"40","Khdc1a",0,0.00622152,1
"41","Khdc1c",0,0,1
"42","Khdc1b",0,0.01246,1
"43","Mir30a",0,0,1
"44","Mir30c-2",0,0,1
"45","B3gat2",0.181752,0.243657,1
"46","Col9a1",0.00484145,0.0389221,1
"47","Lmbrd1",2.32452,2.16463,0.856538
"48","Lgsn",0.0151662,0,1
"49","4930521A18Rik",0,0,1
"50","Gm4850",0.276794,0.10793,1
"51","Khdrbs2",0.0390462,0.0388677,1
"52","1700001G17Rik",0.142821,0.204471,1
"53","Rab23",12.169,12.328,0.972017
"54","Dst",36.9988,24.5046,0.0107095
"55","Imp4",45.0694,27.4205,0.00180283
"56","Ptpn18",0.469903,4.16887,0.000682861
"57","Prss39",0,0.0436864,1
"58","Cfc1",0.0681207,1.13311,0.136793
"59","Fam123c",0,0.112633,1
"60","Arhgef4",1.72673,3.35814,0.0036817
"61","Plekhb2",13.4162,8.00402,0.00494551
"62","Hs6st1",35.1324,27.0596,0.148733
"63","Arid5a",0.853031,1.1325,0.321005
"64","Cnnm4",1.88309,3.73551,0.000682861
"65","Cnnm3",6.79282,9.00336,0.148297
"66","Cox5b",348.04,313.71,0.668449
"67","4933424G06Rik",0.0278907,0.0235151,1
"68","Zap70",1.50579,2.50957,0.053503
"69","Cnga3",1.12264,2.36625,0.00126911
"70","Inpp4a",2.76442,3.37894,0.458505
"71","Unc50",16.6367,16.0482,0.927739
"72","Lipt1",4.78,5.60712,0.627715
"73","Mrpl30",60.8442,73.4498,0.401227
"74","Eif5b",41.8455,28.5208,0.0486076
"75","Nms",0,0,1
"76","Pdcl3",32.2979,27.5293,0.492645
"77","Npas2",0.15135,0.0914419,1
"78","Rpl31",707.098,621.054,0.578733
"79","D1Bwg0212e",26.1881,13.4745,0.000682861
"80","Map4k4",48.6321,29.2486,0.000682861
"81","Il1r2",0.291565,0.677515,0.0370193
"82","Il1r1",0.118033,0.149812,1
"83","Il1rl2",0.0891441,0.128553,1
"84","Il1rl1",0.686669,0.592974,0.718699
"85","Il18r1",0.195752,0.247734,1
"86","Il18rap",0,0,1
"87","Slc9a4",0,0,1
"88","Slc9a2",0.172921,0.107239,1
"89","Tmem182",0,0,1
"90","Pou3f3",0.217563,0.0609885,1
"91","2900092D14Rik",0.371183,0.276912,1
"92","Mrps9",52.0422,38.0684,0.0790827
"93","Gpr45",0.00284948,0.00345052,1
"94","AI597479",9.51592,13.1286,0.0930148
"95","Nck2",6.07287,9.39501,0.0223973
"96","1500015O10Rik",0.0901228,0.558951,0.191177
"97","Tpp2",46.7522,40.9164,0.571474
"98","Bivm",5.8863,6.9031,0.548192
"99","Ercc5",8.40574,12.0102,0.049031
"100","Gulp1",1.33531,2.61117,0.00866704
"101","Col3a1",0,0.0104144,1
"102","Wdr75",85.2475,80.4977,0.841434
"103","Dnahc7b",0.0157496,0.0771059,1
"104","Tmeff2",0.174054,0.361922,1
"105","Sdpr",0.00376824,0,1
"106","Stat4",2.68474,0.836569,0.000682861
"107","Stat1",4.20846,1.75804,0.000682861
"108","Tmem194b",5.35927,9.25063,0.0036817
"109","Hibch",12.5877,15.9994,0.289851
"110","Mstn",0,0,1
"111","Ormdl1",11.3648,12.982,0.647557
"112","Osgepl1",4.01877,6.48484,0.0252628
"113","Ccdc150",0.0730936,0.188108,1
"114","Coq10b",9.2681,8.13733,0.675668
"115","Hspe1",430.878,497.498,0.505543
"116","Mob4",15.4205,19.5538,0.250963
"117","Mars2",7.78526,2.95286,0.000682861
"118","Plcl1",0.0366409,0.0406521,1
"119","9130227L01Rik",0.395249,0.358228,1
"120","9130024F11Rik",1.11961,0.307309,0.000682861
"121","1700066M21Rik",4.7774,4.46567,0.856587
"122","9430016H08Rik",15.2307,12.3092,0.512898
"123","Spats2l",1.07692,1.12092,0.938782
"124","Sgol2",37.8652,32.2164,0.464203
"125","Aox1",0.394853,0.454156,0.768934
"126","Aox3",4.79364,0.232936,0.000682861
